supplierContactID~supplierCompanyProfileID~supplierFacilityProfileID~namePrefix~contactFirstName~contactMiddleName~contactLastName~contactType~jobTitle~emailAddress~phoneNumber~mobileNumber~fax~contactAddressID~DocumentKey~LastUpdatedBy
'1'~'0'~'1137'~''~'Puru    115747'~''~'S    115747'~'0'~''~'psampangi    115747@1worldsync.com'~'    115747'~'    115747'~'    115747'~'0'~'0D3D0CBD-D93D-4D44-93D6-FB8F02FA773E'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'
'2'~'0'~'1137'~''~'Puru    115748'~''~'S    115748'~'0'~''~'psampangi    115748@1worldsync.com'~'    115748'~'    115748'~'    115748'~'0'~'0D3D0CBD-D93D-4D44-93D6-FB8F02FA773E'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'
'3'~'0'~'1137'~''~'Puru    115749'~''~'S    115749'~'0'~''~'psampangi    115749@1worldsync.com'~'    115749'~'    115749'~'    115749'~'0'~'0D3D0CBD-D93D-4D44-93D6-FB8F02FA773E'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'
'4'~'0'~'1137'~''~'Puru    115750'~''~'S    115750'~'0'~''~'psampangi    115750@1worldsync.com'~'    115750'~'    115750'~'    115750'~'0'~'0D3D0CBD-D93D-4D44-93D6-FB8F02FA773E'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'
'6'~'13'~'0'~'1'~'Puru    115751'~'Mo'~'S    115751'~'2'~'QA Manager'~'psampangi    115751@1worldsync.com'~'    115751'~'    115751'~'    115751'~'11215'~'59879499-399E-4803-A7CC-DA0771982F0E'~'B8268BDA-4B63-4961-9AB6-8B8128756D1A'
'7'~'68'~'0'~''~'Puru    115752'~''~'S    115752'~'0'~''~'psampangi    115752@1worldsync.com'~'    115752'~'    115752'~'    115752'~'0'~'F4DE5BF0-D6C7-45BF-B80F-0316F7E3051E'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'
'8'~'68'~'0'~''~'Puru    115753'~''~'S    115753'~'0'~''~'psampangi    115753@1worldsync.com'~'    115753'~'    115753'~'    115753'~'0'~'F4DE5BF0-D6C7-45BF-B80F-0316F7E3051E'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'
'10'~'1174'~'0'~'0'~'Puru    115754'~'aa'~'S    115754'~'2'~''~'psampangi    115754@1worldsync.com'~'    115754'~'    115754'~'    115754'~'11217'~'CA3EDDA2-D400-46B4-B56B-533B05EAB38A'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'
'11'~'0'~'95'~'1'~'Puru    115755'~''~'S    115755'~'2'~'Admin. Manager'~'psampangi    115755@1worldsync.com'~'    115755'~'    115755'~'    115755'~'11241'~'59879499-399E-4803-A7CC-DA0771982F0E'~'B8268BDA-4B63-4961-9AB6-8B8128756D1A'
'12'~'0'~'95'~'1'~'Puru    115756'~''~'S    115756'~'1'~'Facility Manager'~'psampangi    115756@1worldsync.com'~'    115756'~'    115756'~'    115756'~'11242'~'59879499-399E-4803-A7CC-DA0771982F0E'~'B8268BDA-4B63-4961-9AB6-8B8128756D1A'
